game_id,uid,url,black,black_rank,b_pred_game,b_pred_double,b_pred_asym,b_pred_game_prob,b_pred_double_prob,b_pred_asym_prob,b_std_game,b_std_double,b_std_asym,white,white_rank,w_pred_game,w_pred_double,w_pred_asym,w_pred_game_prob,w_pred_double_prob,w_pred_asym_prob,w_std_game,w_std_double,w_std_asym
uiJnzjq1XwN3ASXMtt4j,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/uiJnzjq1XwN3ASXMtt4j,Westf1Br3,,3.663,4.214,3.415,3.531,4.420,3.646,2.600,2.822,2.514,Zebraping3,,5.811,4.569,4.718,3.531,4.775,4.437,2.600,2.693,2.418
09zhdFCRInQR3ftDmdMN,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/09zhdFCRInQR3ftDmdMN,Bonn2,,7.242,7.160,8.566,5.971,9.700,8.113,2.281,1.847,1.641,mk02,,9.786,7.465,7.942,5.971,9.861,8.020,2.281,1.733,1.725
1KmDBLN0jUtaspbKuG8l,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/1KmDBLN0jUtaspbKuG8l,Westf1Br4,,4.986,5.156,5.254,5.579,5.375,4.954,2.332,2.551,2.099,JIGS4,,2.610,4.622,2.825,5.579,4.404,3.551,2.332,2.535,2.471
7raTuTdGkW2tteKuRnpP,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/7raTuTdGkW2tteKuRnpP,TriLux2,,5.867,5.315,4.919,5.182,5.612,5.810,2.491,2.536,2.222,KaWeiqi2,,7.614,5.852,5.983,5.182,6.320,6.138,2.491,2.680,2.041
8Rwb5Y89ICYrjW5PxaaV,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/8Rwb5Y89ICYrjW5PxaaV,KaWeiqi3,,9.901,8.336,7.866,9.774,9.477,7.645,1.715,1.778,1.673,mk03,,6.106,6.875,6.939,9.774,8.130,7.991,1.715,2.111,2.016
9L7EhM5txyZLSvKwg7R5,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/9L7EhM5txyZLSvKwg7R5,elch4,,5.427,5.548,6.984,4.151,6.583,6.149,2.725,2.672,2.219,TriLux4,,7.211,5.495,5.208,4.151,6.287,5.242,2.725,2.859,2.507
9htITYtdgbrEIqEp0KlY,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/9htITYtdgbrEIqEp0KlY,TriLux3,,6.152,6.284,6.849,5.672,7.516,6.084,2.396,2.464,2.201,hhpauli3,,6.317,6.287,6.817,5.672,7.424,6.013,2.396,2.523,2.330
AMN7iXBfferfSuQGCuk0,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/AMN7iXBfferfSuQGCuk0,hhpauli1,,8.401,8.131,9.640,7.824,9.898,8.748,2.056,1.937,1.682,JIGS1,,8.644,7.939,8.055,7.824,9.622,7.928,2.056,1.961,2.082
B03VG0OqQWg37CmckZGE,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/B03VG0OqQWg37CmckZGE,Bremen03,,5.002,5.251,3.287,6.025,5.124,4.867,2.250,2.439,2.332,hhpauli3,,4.633,5.075,3.605,6.025,4.919,4.627,2.250,2.405,2.311
BAMTmu9PEp5zlIzSJfoJ,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/BAMTmu9PEp5zlIzSJfoJ,Bonn1,,5.661,5.494,5.750,5.036,6.641,5.374,2.413,2.540,2.340,Bremen01,,5.245,4.827,4.494,5.036,5.660,4.932,2.413,2.769,2.357
G62b99pXUvmuPpOsfjAN,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/G62b99pXUvmuPpOsfjAN,Bremen02,,9.891,8.942,9.194,9.830,10.526,9.042,1.740,1.796,1.736,Westf1Br2,,9.603,8.907,9.448,9.830,10.674,9.470,1.740,1.908,1.589
IIstdR66ItG2tt3dGrOl,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/IIstdR66ItG2tt3dGrOl,elch1,,8.197,6.998,7.584,7.890,8.388,7.015,2.042,2.149,2.051,Westf1Br1,,7.318,6.545,6.378,7.890,8.276,6.470,2.042,2.189,2.185
KzCacj4S21e9AMFnpFfz,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/KzCacj4S21e9AMFnpFfz,JIGS1,,8.728,8.072,8.537,8.876,9.838,8.308,1.791,1.904,1.727,Zebraping1,,7.820,7.777,9.012,8.876,9.844,8.554,1.791,1.999,1.659
PTyARPOKAXdupOtJKuDz,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/PTyARPOKAXdupOtJKuDz,Zebraping1,,7.101,7.426,7.743,6.068,8.998,6.835,2.492,2.027,2.179,Bremen01,,7.743,7.622,7.826,6.068,9.201,7.040,2.492,2.091,2.032
Q76wRPDsxvCCV4ZQ75Rl,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/Q76wRPDsxvCCV4ZQ75Rl,JIGS1,,6.206,5.363,5.794,5.187,6.921,5.680,2.434,2.691,2.374,KaWeiqi1,,5.986,5.570,6.645,5.187,7.143,6.565,2.434,2.915,2.030
S0e7jAscSFE67B9wMkpp,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/S0e7jAscSFE67B9wMkpp,Bremen01,,6.877,6.451,6.868,6.947,7.330,5.949,2.214,2.381,2.346,TriLux1,,6.206,6.053,6.230,6.947,6.557,5.391,2.214,2.502,2.328
SbdMqgsPZiUaLAIv5YQe,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/SbdMqgsPZiUaLAIv5YQe,KaWeiqi4,,-3.109,-0.181,-0.836,-3.303,-1.253,-1.888,2.863,3.071,2.921,hhpauli4,,3.455,0.667,0.330,-3.303,-0.306,1.069,2.863,3.046,2.921
T6jHCUSiX7B5OcvChP3d,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/T6jHCUSiX7B5OcvChP3d,JIGS4,,-2.192,-1.894,-0.714,-2.339,-0.403,-1.630,3.308,3.041,2.914,hhpauli4,,0.011,-1.895,-1.303,-2.339,-0.768,-1.480,3.308,3.192,2.871
WqzqWAH9ciXDPMTA3NoA,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/WqzqWAH9ciXDPMTA3NoA,mk01,,7.746,7.305,7.450,7.530,8.614,7.158,2.059,2.142,1.939,JIGS1,,6.521,6.810,7.457,7.530,8.177,7.086,2.059,2.230,2.029
XYzF3RBnZQ6Yd72y03Nm,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/XYzF3RBnZQ6Yd72y03Nm,mk02,,7.422,7.840,7.661,7.046,8.834,8.787,2.194,2.221,1.940,KaWeiqi2,,10.750,8.826,8.663,7.046,9.664,8.519,2.194,2.108,1.538
bsu2OK4KbeuuCO0i05cJ,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/bsu2OK4KbeuuCO0i05cJ,KaWeiqi3,,6.094,5.041,5.176,5.639,6.431,5.513,2.512,2.764,2.384,Westf1Br3,,6.324,5.456,6.189,5.639,6.927,5.981,2.512,2.874,2.244
cM9VYz7H0NoVH50oexHN,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/cM9VYz7H0NoVH50oexHN,mk03,,4.484,3.899,4.991,3.605,4.660,4.577,2.725,2.715,2.443,Bonn3,,5.211,3.865,3.178,3.605,4.518,3.579,2.725,2.819,2.599
drUYL8DevImIkL2TIuBO,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/drUYL8DevImIkL2TIuBO,TriLux2,,5.963,4.792,3.389,4.637,4.882,3.525,2.707,2.719,2.675,JIGS2,,4.496,4.771,4.633,4.637,4.954,4.162,2.707,2.826,2.537
enVMUYcHLhYN0BPRw7nR,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/enVMUYcHLhYN0BPRw7nR,Zebraping2,,7.080,7.660,7.602,6.092,8.648,6.998,2.446,2.035,2.173,elch2,,7.094,7.562,7.601,6.092,8.920,7.482,2.446,2.092,1.980
imN9bUSDDQJYC0T889xT,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/imN9bUSDDQJYC0T889xT,hhpauli2,,3.993,4.161,4.477,3.432,4.606,4.639,2.603,2.645,2.195,Bonn2,,6.524,4.787,4.741,3.432,5.408,5.225,2.603,2.699,2.314
llBOFp9lAJwBLe9haZwI,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/llBOFp9lAJwBLe9haZwI,Westf1Br4,,7.479,6.779,7.131,7.400,7.957,7.720,2.058,2.211,1.903,KaWeiqi4,,7.632,6.573,5.863,7.400,7.571,7.044,2.058,2.278,2.057
mYRp5ULuBoNhI6EzKrlv,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/mYRp5ULuBoNhI6EzKrlv,Bremen01,,7.672,7.334,7.394,6.657,8.824,7.938,2.160,2.065,1.886,KaWeiqi1,,9.007,7.944,8.484,6.657,9.461,7.856,2.160,2.065,1.659
nN4bwhkUjeBGJ6gs3WKC,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/nN4bwhkUjeBGJ6gs3WKC,Bonn1,,6.858,6.039,6.048,6.378,7.229,6.794,2.299,2.497,2.254,hhpauli1,,7.668,6.574,7.682,6.378,7.919,6.995,2.299,2.638,2.060
nsyKVFvu36TJbKd4couS,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/nsyKVFvu36TJbKd4couS,Bonn3,,7.124,6.509,6.352,6.909,7.288,5.572,2.199,2.367,2.178,KaWeiqi3,,5.359,5.824,5.685,6.909,6.505,4.923,2.199,2.341,2.304
qyeaxMXMUYZ9NIgzPesU,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/qyeaxMXMUYZ9NIgzPesU,JIGS1,,6.738,7.057,8.557,6.338,9.072,7.963,2.320,2.010,1.901,Bonn1,,7.881,7.245,7.085,6.338,9.235,7.291,2.320,1.863,1.961
tAkXVIMHoUzkS0gi5E7B,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/tAkXVIMHoUzkS0gi5E7B,Bonn1,,8.673,8.765,9.261,8.304,10.828,9.791,1.895,1.747,1.544,KaWeiqi1,,10.270,9.281,9.251,8.304,11.198,9.690,1.895,1.549,1.384
u6DYgZ32A9IxTOAULUJk,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/u6DYgZ32A9IxTOAULUJk,TriLux2,,6.306,5.825,5.416,5.279,7.118,6.286,2.415,2.413,2.349,mk02,,7.356,6.493,6.946,5.279,7.934,6.589,2.415,2.471,2.055
v6nqfauAMT5HkfsRP8qD,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/v6nqfauAMT5HkfsRP8qD,JIGS2,,3.026,7.777,9.537,3.732,8.518,8.009,2.953,1.916,1.921,hhpauli2,,8.795,8.998,8.205,3.732,9.329,7.853,2.953,1.838,1.545
vmGCP236L6Fpj3CnMeZX,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/vmGCP236L6Fpj3CnMeZX,hhpauli2,,9.499,9.428,9.901,10.146,11.202,10.170,1.548,1.671,1.366,Bremen02,,9.281,9.134,9.413,10.146,10.995,9.874,1.548,1.716,1.643
ynK8hTJtkx2rUsGUYgYZ,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/ynK8hTJtkx2rUsGUYgYZ,Bonn3,,4.981,5.089,6.339,5.273,6.436,6.341,2.492,2.609,2.112,hhpauli3,,6.646,5.363,5.513,5.273,6.717,5.860,2.492,2.808,2.338
ywC2h01WLaA3WuY1ddAl,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/ywC2h01WLaA3WuY1ddAl,Bremen04,,2.181,3.050,2.462,1.367,2.703,3.024,2.779,2.861,2.548,Zebraping4,,4.540,3.935,4.383,1.367,3.985,3.605,2.779,2.754,2.551
zw9KoQQAMH4N5aJ5JDGz,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/zw9KoQQAMH4N5aJ5JDGz,Zebraping1,,7.648,7.052,7.781,7.028,9.366,7.875,2.241,2.000,2.059,mk01,,9.481,7.574,8.512,7.028,9.469,8.241,2.241,1.720,1.894
0LLNMyYbmMawHuecMu6P,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/0LLNMyYbmMawHuecMu6P,KaWeiqi1,,4.084,4.397,4.635,5.091,4.831,3.795,3.038,2.753,2.459,TriLux1,,4.241,3.969,4.088,5.091,3.664,4.099,3.038,3.023,2.629
1CATq9aFINwwf51HdliW,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/1CATq9aFINwwf51HdliW,hhpauli3,,6.476,4.727,3.787,5.959,6.148,4.213,2.387,2.429,2.395,mk03,,5.095,4.552,5.417,5.959,5.831,5.342,2.387,2.578,2.297
3orfzhHqAMCpJ8MuF2SE,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/3orfzhHqAMCpJ8MuF2SE,TriLux4,,5.580,4.672,4.432,5.153,5.109,4.196,2.485,2.476,2.363,mk04,,3.783,4.595,3.917,5.153,4.451,4.550,2.485,2.617,2.390
7eX4TMVq9P049Q1vgocU,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/7eX4TMVq9P049Q1vgocU,JIGS1,,8.625,8.558,9.671,8.625,10.303,9.117,1.912,1.865,1.602,Westf1Br1,,8.988,8.621,8.769,8.625,10.170,8.921,1.912,1.775,1.781
